v1	V(n002)	I(D1)
-2.930000000000044e+000	-2.929997e+000	-2.522930e-009
-2.920000000000044e+000	-2.919997e+000	-2.522920e-009
-2.910000000000045e+000	-2.909997e+000	-2.522911e-009
-2.900000000000045e+000	-2.899997e+000	-2.522901e-009
-2.890000000000045e+000	-2.889997e+000	-2.522890e-009
-2.880000000000045e+000	-2.879997e+000	-2.522880e-009
-2.870000000000045e+000	-2.869998e+000	-2.522870e-009
-2.860000000000046e+000	-2.859998e+000	-2.522861e-009
-2.850000000000046e+000	-2.849998e+000	-2.522850e-009
-2.840000000000046e+000	-2.839998e+000	-2.522840e-009
-2.830000000000046e+000	-2.829998e+000	-2.522830e-009
-2.820000000000047e+000	-2.819998e+000	-2.522820e-009
-2.810000000000047e+000	-2.809998e+000	-2.522811e-009
-2.800000000000047e+000	-2.799998e+000	-2.522800e-009
-2.790000000000047e+000	-2.789998e+000	-2.522790e-009
-2.780000000000047e+000	-2.779998e+000	-2.522780e-009
-2.770000000000048e+000	-2.769997e+000	-2.522771e-009
-2.760000000000048e+000	-2.759997e+000	-2.522761e-009
-2.750000000000048e+000	-2.749997e+000	-2.522750e-009
-2.740000000000048e+000	-2.739997e+000	-2.522740e-009
-2.730000000000048e+000	-2.729997e+000	-2.522730e-009
-2.720000000000049e+000	-2.719997e+000	-2.522721e-009
-2.710000000000049e+000	-2.709997e+000	-2.522710e-009
-2.700000000000049e+000	-2.699997e+000	-2.522700e-009
-2.690000000000049e+000	-2.689997e+000	-2.522690e-009
-2.680000000000050e+000	-2.679997e+000	-2.522680e-009
-2.670000000000050e+000	-2.669997e+000	-2.522671e-009
-2.660000000000050e+000	-2.659997e+000	-2.522661e-009
-2.650000000000050e+000	-2.649997e+000	-2.522650e-009
-2.640000000000050e+000	-2.639997e+000	-2.522640e-009
-2.630000000000051e+000	-2.629997e+000	-2.522630e-009
-2.620000000000051e+000	-2.619998e+000	-2.522621e-009
-2.610000000000051e+000	-2.609998e+000	-2.522610e-009
-2.600000000000051e+000	-2.599998e+000	-2.522600e-009
-2.590000000000051e+000	-2.589998e+000	-2.522590e-009
-2.580000000000052e+000	-2.579998e+000	-2.522580e-009
-2.570000000000052e+000	-2.569998e+000	-2.522571e-009
-2.560000000000052e+000	-2.559998e+000	-2.522560e-009
-2.550000000000052e+000	-2.549998e+000	-2.522550e-009
-2.540000000000052e+000	-2.539998e+000	-2.522540e-009
-2.530000000000053e+000	-2.529998e+000	-2.522530e-009
-2.520000000000053e+000	-2.519997e+000	-2.522521e-009
-2.510000000000053e+000	-2.509997e+000	-2.522510e-009
-2.500000000000053e+000	-2.499997e+000	-2.522500e-009
-2.490000000000054e+000	-2.489997e+000	-2.522490e-009
-2.480000000000054e+000	-2.479997e+000	-2.522481e-009
-2.470000000000054e+000	-2.469997e+000	-2.522470e-009
-2.460000000000054e+000	-2.459997e+000	-2.522460e-009
-2.450000000000054e+000	-2.449997e+000	-2.522450e-009
-2.440000000000055e+000	-2.439997e+000	-2.522440e-009
-2.430000000000055e+000	-2.429997e+000	-2.522431e-009
-2.420000000000055e+000	-2.419997e+000	-2.522420e-009
