Freq.	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
1.39315680294507e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.61150986090726e-001dB,-2.36377025866424e+001°)	(-4.19175536189299e+001dB,6.63622974133576e+001°)	(-4.19175536189299e+001dB,-1.13637702586642e+002°)	(-4.19175536189299e+001dB,-1.13637702586642e+002°)
1.39636836105571e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.64372454989047e-001dB,-2.36861992846195e+001°)	(-4.19007750878282e+001dB,6.63138007153805e+001°)	(-4.19007750878282e+001dB,-1.13686199284619e+002°)	(-4.19007750878282e+001dB,-1.13686199284619e+002°)
1.39958732257239e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.67606389139828e-001dB,-2.37347716663586e+001°)	(-4.18840090219790e+001dB,6.62652283336414e+001°)	(-4.18840090219790e+001dB,-1.13734771666359e+002°)	(-4.18840090219790e+001dB,-1.13734771666359e+002°)
1.40281370456172e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.70852827443920e-001dB,-2.37834197101224e+001°)	(-4.18672554602831e+001dB,6.62165802898776e+001°)	(-4.18672554602831e+001dB,-1.13783419710122e+002°)	(-4.18672554602831e+001dB,-1.13783419710122e+002°)
1.40604752412968e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.74111808851351e-001dB,-2.38321433932676e+001°)	(-4.18505144416905e+001dB,6.61678566067324e+001°)	(-4.18505144416905e+001dB,-1.13832143393268e+002°)	(-4.18505144416905e+001dB,-1.13832143393268e+002°)
1.40928879842164e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.77383372360798e-001dB,-2.38809426922412e+001°)	(-4.18337860051999e+001dB,6.61190573077588e+001°)	(-4.18337860051999e+001dB,-1.13880942692241e+002°)	(-4.18337860051999e+001dB,-1.13880942692241e+002°)
1.41253754462252e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.80667557019054e-001dB,-2.39298175825768e+001°)	(-4.18170701898582e+001dB,6.60701824174232e+001°)	(-4.18170701898582e+001dB,-1.13929817582577e+002°)	(-4.18170701898582e+001dB,-1.13929817582577e+002°)
1.41579377995685e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.83964401920516e-001dB,-2.39787680388905e+001°)	(-4.18003670347597e+001dB,6.60212319611095e+001°)	(-4.18003670347597e+001dB,-1.13978768038890e+002°)	(-4.18003670347597e+001dB,-1.13978768038890e+002°)
1.41905752168886e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.87273946206624e-001dB,-2.40277940348774e+001°)	(-4.17836765790458e+001dB,6.59722059651226e+001°)	(-4.17836765790458e+001dB,-1.14027794034877e+002°)	(-4.17836765790458e+001dB,-1.14027794034877e+002°)
1.42232878712258e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.90596229065338e-001dB,-2.40768955433080e+001°)	(-4.17669988619045e+001dB,6.59231044566920e+001°)	(-4.17669988619045e+001dB,-1.14076895543308e+002°)	(-4.17669988619045e+001dB,-1.14076895543308e+002°)
1.42560759360195e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.93931289730585e-001dB,-2.41260725360238e+001°)	(-4.17503339225697e+001dB,6.58739274639762e+001°)	(-4.17503339225697e+001dB,-1.14126072536024e+002°)	(-4.17503339225697e+001dB,-1.14126072536024e+002°)
1.42889395851086e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-7.97279167481706e-001dB,-2.41753249839344e+001°)	(-4.17336818003209e+001dB,6.58246750160656e+001°)	(-4.17336818003209e+001dB,-1.14175324983934e+002°)	(-4.17336818003209e+001dB,-1.14175324983934e+002°)
1.43218789927330e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.00639901642907e-001dB,-2.42246528570131e+001°)	(-4.17170425344821e+001dB,6.57753471429869e+001°)	(-4.17170425344821e+001dB,-1.14224652857013e+002°)	(-4.17170425344821e+001dB,-1.14224652857013e+002°)
1.43548943335342e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.04013531582694e-001dB,-2.42740561242934e+001°)	(-4.17004161644218e+001dB,6.57259438757066e+001°)	(-4.17004161644218e+001dB,-1.14274056124293e+002°)	(-4.17004161644218e+001dB,-1.14274056124293e+002°)
1.43879857825561e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.07400096713300e-001dB,-2.43235347538654e+001°)	(-4.16838027295525e+001dB,6.56764652461346e+001°)	(-4.16838027295525e+001dB,-1.14323534753865e+002°)	(-4.16838027295525e+001dB,-1.14323534753865e+002°)
1.44211535152463e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.10799636490132e-001dB,-2.43730887128719e+001°)	(-4.16672022693293e+001dB,6.56269112871281e+001°)	(-4.16672022693293e+001dB,-1.14373088712872e+002°)	(-4.16672022693293e+001dB,-1.14373088712872e+002°)
1.44543977074569e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.14212190411173e-001dB,-2.44227179675048e+001°)	(-4.16506148232503e+001dB,6.55772820324952e+001°)	(-4.16506148232503e+001dB,-1.14422717967505e+002°)	(-4.16506148232503e+001dB,-1.14422717967505e+002°)
1.44877185354452e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.17637798016426e-001dB,-2.44724224830017e+001°)	(-4.16340404308556e+001dB,6.55275775169983e+001°)	(-4.16340404308556e+001dB,-1.14472422483002e+002°)	(-4.16340404308556e+001dB,-1.14472422483002e+002°)
1.45211161758750e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.21076498887308e-001dB,-2.45222022236414e+001°)	(-4.16174791317265e+001dB,6.54777977763586e+001°)	(-4.16174791317265e+001dB,-1.14522202223641e+002°)	(-4.16174791317265e+001dB,-1.14522202223641e+002°)
1.45545908058172e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.24528332646069e-001dB,-2.45720571527414e+001°)	(-4.16009309654852e+001dB,6.54279428472586e+001°)	(-4.16009309654852e+001dB,-1.14572057152741e+002°)	(-4.16009309654852e+001dB,-1.14572057152741e+002°)
1.45881426027510e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.27993338955194e-001dB,-2.46219872326531e+001°)	(-4.15843959717943e+001dB,6.53780127673469e+001°)	(-4.15843959717943e+001dB,-1.14621987232653e+002°)	(-4.15843959717943e+001dB,-1.14621987232653e+002°)
1.46217717445647e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.31471557516806e-001dB,-2.46719924247590e+001°)	(-4.15678741903560e+001dB,6.53280075752410e+001°)	(-4.15678741903560e+001dB,-1.14671992424759e+002°)	(-4.15678741903560e+001dB,-1.14671992424759e+002°)
1.46554784095567e+002	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-8.34963028072063e-001dB,-2.47220726894688e+001°)	(-4.15513656609112e+001dB,6.52779273105312e+001°)	(-4.15513656609112e+001dB,-1.14722072689469e+002°)	(-4.15513656609112e+001dB,-1.14722072689469e+002°)
