x-axis,1,2,MATH
second,Volt,Volt,Volt
-1.390000E-03,-730.468750E-03,-774.765968E-03,-53.356171E-03
-1.385000E-03,-714.843750E-03,-765.000343E-03,-53.356171E-03
-1.380000E-03,-695.312500E-03,-745.469093E-03,-53.356171E-03
-1.375000E-03,-679.687500E-03,-735.703468E-03,-57.262421E-03
-1.370000E-03,-660.156250E-03,-716.172218E-03,-57.262421E-03
-1.365000E-03,-644.531250E-03,-696.640968E-03,-57.262421E-03
-1.360000E-03,-628.906250E-03,-677.109718E-03,-53.356171E-03
-1.355000E-03,-613.281250E-03,-657.578468E-03,-49.449921E-03
-1.350000E-03,-597.656250E-03,-647.812843E-03,-53.356171E-03
-1.345000E-03,-582.031250E-03,-628.281593E-03,-49.449921E-03
-1.340000E-03,-566.406250E-03,-608.750343E-03,-49.449921E-03
-1.335000E-03,-550.781250E-03,-598.984718E-03,-49.449921E-03
-1.330000E-03,-535.156250E-03,-579.453468E-03,-49.449921E-03
-1.325000E-03,-515.625000E-03,-559.922218E-03,-53.356171E-03
-1.320000E-03,-500.000000E-03,-540.390968E-03,-49.449921E-03
-1.315000E-03,-484.375000E-03,-530.625343E-03,-49.449921E-03
-1.310000E-03,-464.843750E-03,-511.094093E-03,-49.449921E-03
-1.305000E-03,-449.218750E-03,-491.562843E-03,-45.543671E-03
-1.300000E-03,-433.593750E-03,-472.031593E-03,-45.543671E-03
-1.295000E-03,-417.968750E-03,-462.265968E-03,-45.543671E-03
-1.290000E-03,-398.437500E-03,-442.734718E-03,-49.449921E-03
-1.285000E-03,-382.812500E-03,-423.203468E-03,-49.449921E-03
-1.280000E-03,-363.281250E-03,-413.437843E-03,-49.449921E-03
-1.275000E-03,-347.656250E-03,-393.906593E-03,-53.356171E-03
-1.270000E-03,-328.125000E-03,-374.375343E-03,-53.356171E-03
-1.265000E-03,-312.500000E-03,-354.844093E-03,-53.356171E-03
-1.260000E-03,-296.875000E-03,-345.078468E-03,-53.356171E-03
-1.255000E-03,-277.343750E-03,-325.547218E-03,-53.356171E-03
-1.250000E-03,-261.718750E-03,-306.015968E-03,-49.449921E-03
-1.245000E-03,-246.093750E-03,-296.250343E-03,-53.356171E-03
-1.240000E-03,-234.375000E-03,-276.719093E-03,-53.356171E-03
-1.235000E-03,-218.750000E-03,-266.953468E-03,-53.356171E-03
-1.230000E-03,-203.125000E-03,-247.422218E-03,-53.356171E-03
-1.225000E-03,-187.500000E-03,-237.656593E-03,-53.356171E-03
-1.220000E-03,-171.875000E-03,-218.125343E-03,-49.449921E-03
-1.215000E-03,-156.250000E-03,-198.594093E-03,-53.356171E-03
-1.210000E-03,-140.625000E-03,-188.828468E-03,-53.356171E-03
-1.205000E-03,-125.000000E-03,-169.297218E-03,-53.356171E-03
